ProductId,Clean_Text,Sentiment,Sentiment_Price,Sentiment_Quality,Sentiment_Taste
B004ZIER34,smooth delicious coffee brewed beautifully percolator almost bite matter strong make prefer strong coffee often results something feels like eating stomach lining breakfast coffee left feeling wide awake without also feeling intestinal tract invaded swarm piranhas,1,0,0,1
B004ZIER34,good enough make order finally delicious coffee created send stomach ride acid roller coaster able enjoy several cups wonderfully aromatic coffee without trouble first ended ordering mocha java flavor exactly best mocha java ever definitely easy digestive tract french vanilla creamer price wise definitely paying good quality coffee makes slightly higher price worth order whole bean 5lbs shipping free prime last good even heavy coffee drinker like wish would stayed smooth flavor french roast live learn please note drink coffee straight black made puroast acid coffee 1tbs ground coffee like strong husband severe acid reflux able enjoy coffee without trouble regular 6ozs fear would problems later generally coffee causes pain burping avoids,1,1,1,1
B004ZIER34,good guess expected would compromise flavor acid none need acid coffee good choice read reviews seems like flavor personally like coffee little bitter side mocha java whipped cream type guys keep mind pretty much need taste test tasted like good coffee,1,0,0,1
B004ZIER34,really disappointed first confess like coffee however times simply like excited puroast acid coffee french roast finally maybe would find less acid coffee tasted like coffee without side effects unfortunately wasnt brew waiting pungent aroma coffee waft kitchen waited waited finally small hint coffee aroma coffee aroma settle coffee flavor unfortunately disappointed blindfold taste test would hard pressed identify coffee almost chemical taste exactly pleasant thought might grow even forced drink second grow sorry although feel acid effects like often regular coffee puroast upheld acid portion bargain admirably wish upheld coffee part well wont buying coffee substitute either deal acid taste smell coffee without,-1,0,0,-1
B004ZIER34,acid sacrifice taste coffee designed problem heartburn acid reflux coffee coffee smells tastes great willing people would know acid nothing taste give away fact something missing even better acid drinking,1,0,0,1
B004ZIER34,acid coffee needs improve flavor wife occasional heartburn drinking coffee particularly bolder blends since likes dark roasts like problems associated cups found coffee bitter smooth dark roast heartburn overall flavor something would drawn future might flavors though,0,0,0,0
B004ZIER34,taste acid coffee taste brew somewhere folgers high gourmet brew great flavor cheap commercial coffee still slight hint station folgers like taste noticed difference acid level tastes almost lighter cleaner bonus especially people stomach issues everyone eating western diet tends high acidity would purchase taste high tasting enough however used drinking organic gourmet coffee drink commercial cheaper coffee think would satisfied taste pleased acid element,1,1,0,1
B004ZIER34,excellent coffee without taste soon received opened prepared relaxing fine coffee disappointed regular coffee drinker spite occasional heartburn experienced effects coffee plus enjoyed full flavor dark french roast highly recommended enjoy getting caffeine coffee discontinued drinking coffee effects probably able relaxing java,1,0,0,1
B004ZIER34,nothing special reason believe coffee good reflux acid sufferers really serious problem drink stuff refluxer serious kind coffee give heartburn acid reflux terms quality taste better worse folgers taster choice perhaps investigate whether price justifies,1,1,1,1
B004ZIER34,review well would like review would unfair ordered vine reason never,-1,0,0,0
B004ZIER34,tastes like mild everyday coffee coffee tastes pretty good find coffee sometimes hurts stomach acid version give usual burning feeling drinking usual brand think flavor trade tastes little weaker lacks character bigger name coffees however think coffee bothers though really good,1,0,0,1
B004ZIER34,seems less acid favorite taste good ground coffee french roast characteristic stronger flavor biggest roast start take consideration like chances like biggest attraction acid tell sure made couple cups excess acid reaction coffee usually occasionally experience symptoms none case really scientific study conveniently packaged,1,0,1,1
B004ZIER34,acid taste gift girlfriend mother mentioned getting heart burn coffee even though loves coffee thought might make reasonable situation trying though seemed little less worried heart burn little concerned taste heartburn also drink much either taste thought tasted little stale bland maybe batch seems process limit acid also limits flavor hoped going winner,-1,0,0,-1
B004ZIER34,definitely coffee concerned beneficial features particular brew going give distinctively different flavor imagining something like dark however case found flavor pleasant rich flavor popular brands pleasant serious sufferer acid reflux certainly believe small sacrifice flavor would worth personally probably stick regulars,1,1,0,1
B004ZIER34,tasted like coffee noticeable taste difference good severe acid issue give four star simply tasted like coffee cream sugar kind might masked kind taste pretty happy overall complaints recommend,1,0,0,1
B004ZIER34,tastes starbucks coffee drinker starbucks home brews said work firm order starbucks french breakfast blends order instant nescafe clasico ordered puroast time tastes bitter ones seems acidic acid leaves bitter aftertaste actually creamers coffeemate french regular though drinking starbucks versions difference,0,0,0,0
B004ZIER34,puroast acid coffee acid coffee french roast ounce bags pack coffee strong fashioned flavor strong leave taste think would good coffee need real jolt going need sort pick good coffee recommended little expensive side,1,1,0,1
B004ZIER34,starbucks sometimes coffee bothers acidic seem bother less small sample difficult give solid opinion trial right though lacked full body starbucks house blend italian roast love still pretty darn good coffee liked better drank acid issues worth high caffeine apparently felt wired usual drinking mistake acid octane still packs punch would like pretty good stuff,1,1,0,0
B004ZIER34,acid weak taste ordered coffee daughter second year student gerd lerp problems coffee something always liked give acid reflux although vine offer clearly said would send ounce bags delivered emailed back asked send correct order behold sent contacted time explain must coding problem system time favored response hundreds orders processed years first time made shipping mistake cleared daughter tried neither acid reaction neither would ordered based taste like stronger bolder coffee weak sort strange taste exactly keep trying though people acid reflux looking great coffee,1,0,1,1
B004ZIER34,delicious puroast acid coffee clear bold flavor discernible acidity quite delicious really liked highly recommended people need acid coffee want premium flavor,1,0,0,1
B004ZIER34,tastes like decaf thought acid reduction great idea taste tasted smelled bitter flat slightly weak taste like french roast ever needs work taste area comes single foil pouch coffee maker french press science bother stomach taste best either rather great coffee take antacid great taste much coffee drinker like nice great coffee every might every coffee drinkers regular bulk coffee brands,1,0,0,1
B004ZIER34,worst coffee ever coffee acid leaves awful taste like drinking burnt coffee grounds coffee poured made fresh drinking world difference,-1,0,-1,-1
B004ZIER34,need acid coffee think puroast pretty good acid coffee acid coffee small market coffee roasters willing make acid coffee angeles puroast trader acid french roast brands ever come across travels gave puroast four stars come whole bean form personally prefer fresh ground coffee think ground versions stay fresh long think flavor pretty good would much improved whole beans need acid coffee mind ground puroast good choice especially considering choices,1,0,0,1
B004ZIER34,cuppa hearburn sufferers drinker enjoy occasional cuppa acid never bothered missed flavor lactose alcohol smoking seem give fiery acid coffee much tasting mind love coffee heartburn high acidity probably worth shot though,1,1,0,1
B004ZIER34,lives advertising tried coffee drink sometimes gives stomach ache looking coffee robust flavor little easier system lives advertising good flavorful easier stomach ordering,1,0,0,1
B004ZIER34,still needs work okay admit coffee snob loved coffee since enough steal parents breakfast table many years tell said tell coffee weak lacks flavor matter strongly brewed tried several pots satisfied even love dark roasted full flavored coffee tried many french roasts supposed dull flatter generic decaf truly unappealing would rather good coffee pots mediocre brew coffee left feeling drank coffee substitute even good looking acid coffee good ethiopian many naturally less acidic coffees pass left totally lacking coffee satisfaction aroma wonderful taste brown water variety needs work opinion,1,0,0,1
B004ZIER34,unimpressive certainly prefer fresh roasted whole bean coffee burr ground seasoned brewing inclined drink coffee matter source preparation general preference runs darker roasts taken black prepared puroast technivorm moccamaster though back less full three ounces cups filtered water result disappointing brew strong enough certainly presented acidity said flavor fairly flat almost chemical plastic undertone complexity brew even mill folgers offers flavor signature someone cannot tolerate acid typical coffee anyone else better tasting alternatives less money,0,0,0,0
B004ZIER34,less less lower acid level something noticed ways first cause stomachaches coffees secondly left less residue stain coffee usual flavorwise average restaraunt coffee quality flavor aroma like,0,0,0,0
B004ZIER34,trick tried puroast acid coffee first impressions coffee nice acid nature helps sour aftertaste generally experience drinking black coffee tried coffee several different ways black cream sugar even condensed milk coffee made platinum single home brewing system solofill refillable keurig brewers filter allows coffee choice instances filled brim filler gently tapped tamping grounds water temperature believe made largest serving available usually drink coffee morning whether using disposable kcups best judge difference even largest serving coffee still plenty bold great aroma body generally avoid drinking black coffee acidic aftertaste particularly like reason generally cream sugar acid blend definitely drink black mood,1,0,1,1
B004ZIER34,good coffee usually drink decaf health reasons found coffee robust flavor without bitter prefer coffee taste close coffee cream possible coffee came pretty close ideal added cream fake sugar friend drinks black also liked much stomach issues either,1,0,0,1
B004ZIER34,nice flavor nice flavor goes compared coffee could tell difference less acid could tell tasted like regular coffee taste,1,0,0,1
B004ZIER34,smooth silk great acid free flavor someone occasionaly experiences acid reflux appreciate acid free coffee tastes great noticeably acid free highly recommend,1,0,0,1
B004ZIER34,smooth coffee gets stars unless roasted ground within last half hour additionally problems acid reflux given like light roast french roast anything starbucks given first french roast ever liked found mild smooth drinkable surprised especially given expectations acid coffee bothers think worth,1,1,0,0
B004ZIER34,trying coffee espresso machine dont drip coffee machine putting espresso machine shots tastes guess good stomach milk sooth stomach anyways cream sugar guess means going sugar creme used strong coffee taste less coffee answer suppose great idea acid coffee water half amount regular coffee normal amount creme sugar milk water regular coffee half portion make diluted helped also supposed drink coffee cake something help pass straight without anything unless love suppose dont like creme milk would make sense make sense even trying tasting right drink without sugar creme used drinking would without condiments would definitely recommend mother drinks straight black coffee stopped drinking suggesting coffee even weak coffee gets ideas friends said good last year years says coffee evil still drinks black straight coffee drip coffee machine koreans friends drink straight black coffee without milk lactose intolerant younger brother guess coffee lactose intolerant condition also loves drink straight black coffee coffee like served church friends also going roman catholic church best served brew like gallons stuff every straight black great idea parents lives miles away couldnt,1,0,0,1
B004ZIER34,great flavor really great coffee upset stomach unlike many robust coffees aroma fantastic fills house wonderful coffee smell coffee addicts love first thing morning flavor rich heavy milk dilute husband loves really heavy coffee flavor find overwhelming thick nice rich robust bean along taste buds plan look whole beans brand lovely thick aroma permeate kitchen particular rich aroma reminded grandmother house fond memory acid coffee definitely coffee drinker loves rich heavy smell needs something easy stomach perfect blend,1,0,0,1
B004ZIER34,heartburn thank definitely keep stock tried sample long time acid reflux sufferer pleased find rich mild coffee rich flavorful mild enough irritate stomach perfect told back strong coffee,1,0,0,1
B004ZIER34,smells stale tastes weak looks like coffee moment opened smell wonderful smell coffee sniffed close opening finally smelled coffee smelled stale brewed first odor still remained stale addition smelling like second brew used grounds really affected reaction taste coffee smell coffee appetizing enhances taste since already issue smell coffee ended tasting weak stale process removing acid must affect taste smell well color took away best parts coffee appetizing smell rich slight bitter taste dark smoky caramel color decided rest grounds odor neutralizer even effective neutralize smells like regular acidic coffee guess stick regular coffee truthfully instant coffee smells tastes better acid coffee,0,0,0,0
B004ZIER34,rich tasting delivers acid promise enjoy coffee frequently limit consumption acid reflux issues exasperated coffee particularly empty stomach test waited saturday morning brewed coffee normally chose following outdoor activity instances previously would suffered acid burning throat felt none drinking cups coffee taste strongest french roast ever trade particularly someone speak morning hence avoid coffee speak well worth,1,1,0,1
B004ZIER34,coffee lover impressed drink frequent coffee drinker least couple cups glad available often switch light roast dark roast coffee depends time mood availably like enjoy good dark french roast night made husband impressed strong odor bitter taste neither finished impact acid judge since drink enough,1,0,1,1
B004ZIER34,hollow someone suffers stomach problems exacerbated caused drinking much coffee high hopes unfortunately days puroast replaced usual brew noticed significant changes physical mental states respite ailments strikes medicine beverage answer best nothing special billed dark french roast fine grind coffee suggestive espresso best results make espresso standard automatic drip coffee coffee acrid aroma initial taste quickly gave empty hollow flavor might drinking melted iced coffee making instant coffee cold water fairness wife liked regularly dilutes coffee make gourmet could water,0,0,0,0
B004ZIER34,strong tasty coffee coffee hoping would allow enjoy cups without acid notice difference regular coffee taste reminds hispanic coffee strong dark sadly help avoid heartburn either giving four stars taste good aroma reminds grandmother kitchen,1,0,0,1
B004ZIER34,expensive somewhat bitter husband suffers heart burn takes antacids daily give puroast thoughts puroast tolerable alternative compare well mind regular coffee taste somewhat bitter given price almost packs almost better drink coffee must absolutely sort coffee cannot regular coffee might acceptable alternative,0,0,0,0
B004ZIER34,nice taste acidity sensitive tummy like coffee take prilosec every time want enjoy coffee tastes great similar store bought coffees cause stomach give,1,0,0,1
B004ZIER34,really nice delivers acid promise single sample coffee enjoyed much heartburn quite frequently often feel coffee causes nice option sample pre0ground usually grind brew look forward trying whole bean version future,1,0,0,0
B004ZIER34,tasty sure expect ordered item something acid found flavorful satisfying told acid coffee never would known normally drink eight clock coffee happy brand would definitely drink tried second breakfast also afternoon another normally drink coffee breakfast time stomach issues usually bothers stomach later however actually able tolerate quite well used type coffee drink daily afternoon nice know ever need little burst energy brew coffee worry getting upset stomach therefore definitely recommend giving coffee,1,0,0,1
B004ZIER34,delightfully surprising smooth normally dark roasted coffees puroast acid french roast coffee astonishingly appealing lack bitterness bite actually enhanced rich nutty flavor sampled cream without cream found methods quite enjoyable generally stomach cramp within moments drinking coffee conspicuously absent drinking brand conclude acid reason change additionally acid nature beverage made smooth palate price coffee deter many coffee drinkers sensitivity acid refined taste quality coffee price worth added benefits comparison starbucks french roast offered ounce package ground coffee slightly puroast offering ounce package whole beans keep mind puroast also offers variety flavors including half caff decaf flavors additionally puroast offers membership program reduces price consumer agrees placed regular shipping schedule drinking coffee regular part life auto shipments seem like good idea acid even,1,1,1,1
B004ZIER34,would drink sure received vine program love coffee cannot drink much sensitive amount acid coffee decided puroast brand acid coffee past taste good like taste suck regular coffee drink health reasons could smell smells like regular coffee drink coffee price already problem note drink good pricy coffee health issues need drink acid coffee pretty good regular coffee looking acid coffee looking coffee good taste good liked definitely worth,1,1,0,1
B004ZIER34,tastes great suffered heartburn years never thought might coffee drink excited give loved taste coffee heartburn might better significant guess possible heartburn something coffee drink would still recommend though good coffee,1,0,0,1
B004ZIER34,acid issues much acid issues coffee times binge coffee sometimes burning better feed addiction pragmatist seems like easier body issues drinking love smell taste coffee mood choice smell coffee brewing less wonderful fact would distasteful make want brew nevertheless brewed check pleasantly surprised taste brews pretty mellow smooth coffee incredibly flavorful subtle hints many steps folgers cheapie coffees good premium coffees miss taste acid issues good option,1,1,0,1
B004ZIER34,strange brew well received coffee drinker relative relative coffee hound loved relative went describe coffee rich earthy flavor exotic distinct added advantage acid smilingly think eric clapton cream classic strange brew think coffee,1,0,0,1
B004ZIER34,decent alternative used worst heartburn drank coffee know craving brew want heartburn acid reflux stomach irritation problems puroast acid coffee wonderful alternative coffees taste smooth bitter would recommend making stronger mainly like coffee could also extra flavoring think works good base coffee looking still coffee without sacrificing health give,0,0,0,0
B004ZIER34,loved first vine review love coffee coffee love aghhh traders joes acid coffee good dark roast liked longer tried vine praying beat first recieved pack whine hard coffee workable micro great tasted wonderful stomache ache wonder,1,0,0,1
B004ZIER34,sticking zantac vine program sends sample makes coffee perhaps acid benefits become apparent repeat missus 1rude remarked sticking zantac coffee produced puroast grounds somehow managed bitter flat reference typically find starbucks coffees bitter maxwell house ones flat heartburn sufferer coffee lover might worth trying puroast find palatable,0,0,0,0
B004ZIER34,taste sure benefits reason sure reported benefits claims suffer gastro issues related coffee first assisting getting things moving happen like bold bitter even light coffees depending mood siad coffee delicious even need claimed beenfits drinking type wife first sensitive reflux heartburn according notice differences also reported smooth mellow went easily,1,0,0,1
B004ZIER34,pretty darned good love full bodied dark roast coffee many typical acid decaf coffees bland chemical taste puroast complexities favorite beans full taste tartness associate dark roast none chemical taste acid coffees enjoy coffee difficulty acid enjoy puroast,1,0,0,1
B004ZIER34,tates strong received part vine program tried coffee early morning water ready used little coffee strong surprise quiet strong need whole taste little different regular french roast coffee acid taste goes felt acid sweet either ever tried papua ginea coffee acid good coffee,1,0,0,1
B004ZIER34,tastes fantastic tried acid coffees others past eventually still upset stomach couple cups still drink three days different able drink cups days without stomach upset wonderful taste coffee goes would definitely,1,0,0,1
B004ZIER34,really really need acid pretty good expecting bold smokey gourmet flavor starbucks seattle best reaching miracle grew younger brother needed sacchrine everything diabetes sacchrine absolutely sugar substitute anyone used knows puroast acid really alternative need acid blend acid reflux sensitive stomachs weaker used certainly bolder folgers medium roast would though milder bold roasts dead giveaway opening pouch probably finer grind even mild medium roasts coarser mill finer grind lower aroma retention finer grind taste much bolder smell would give away also smoother tasting french roast expecting possibly fine grind pleasant taste cost flavor inconsequential really need acid coffee reason hard rate using star system coffee lover without acid need perhaps someone acid need finds coffee superb would otherwise give four five stars regular coffee drinker flavor cultivated used make others especially weaker blends seem inferior probably reality asia times would weeks without coffee mildest blends tasted good although unable espresso machine finer grind lends espresso something might want blend kick flavor another bold notch another possible idea blend french press although know finer grind typically conducive press perhaps filter used suffer acid reflux sensitive stomach worth need acid beverage stick standard brands,1,1,0,1
B004ZIER34,pretty good nothing special taste coffee subjective fact subjective well meaningless discuss nevertheless judgement coffee pretty good really nothing special thought taste level seattle best tully starbucks bagged ground coffee better lower tier bagged ground coffee outstanding pretty pricey coffee judge acid aspect brew generally trouble acid coffee admittedly subjective view coffee price better three star,1,1,0,1
B004ZIER34,needs cheaper husband loves french roast trouble acid drinking coffee would great benefit cost would prevent buying flavor still strong like really light coffees tried first without creamer like taste added water usually coffee sugar free french vanilla creamer fine think would sold cheaper price kudos company making acid coffee though,1,1,0,1
B004ZIER34,husband says frenchy really wanted like coffee bland remind french roast ever smooth solofil cups think grind fine machine,1,0,0,1
